Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergy_score
MITOXANTRONE,ZOLEDRONIC ACID,786O,DB01204,DB00399,-21.29,0
MITOXANTRONE,ARSENIC TRIOXIDE,786O,DB01204,DB01169,-19.93,0
PEMETREXED,MERCAPTOPURINE,786O,DB00642,DB01033,-18.61,0
BLEOMYCIN,FULVESTRANT,786O,DB00290,DB00947,-17.09,0
TENIPOSIDE,ZOLEDRONIC ACID,786O,DB00444,DB00399,-16.49,0
GEFITINIB,MERCAPTOPURINE,786O,DB00317,DB01033,-16.42,0
LOMUSTINE,PRALATREXATE,786O,DB01206,DB06813,-16.27,0
5-FU,PRALATREXATE,786O,DB00544,DB06813,-16.11,0
DAUNORUBICIN HYDROCHLORIDE,MERCAPTOPURINE,786O,DB00694,DB01033,-15.7,0
LOMUSTINE,ZOLEDRONIC ACID,786O,DB01206,DB00399,-15.32,0
DAUNORUBICIN HYDROCHLORIDE,PRALATREXATE,786O,DB00694,DB06813,-14.99,0
LOMUSTINE,MERCAPTOPURINE,786O,DB01206,DB01033,-14.88,0
ABIRATERONE,MERCAPTOPURINE,786O,DB05812,DB01033,-14.88,0
RUXOLITINIB,MERCAPTOPURINE,786O,DB08877,DB01033,-14.54,0
LENALIDOMIDE,MERCAPTOPURINE,786O,DB00480,DB01033,-14.28,0
VEMURAFENIB,MERCAPTOPURINE,786O,DB08881,DB01033,-14.25,0
DACARBAZINE,MERCAPTOPURINE,786O,DB00851,DB01033,-14.09,0
CRIZOTINIB,MERCAPTOPURINE,786O,DB08865,DB01033,-14.06,0
DAUNORUBICIN HYDROCHLORIDE,ZOLEDRONIC ACID,786O,DB00694,DB00399,-13.9,0
DEXRAZOXANE,PRALATREXATE,786O,DB00380,DB06813,-13.89,0
MEGESTROL ACETATE,MERCAPTOPURINE,786O,DB00351,DB01033,-13.57,0
PAZOPANIB HYDROCHLORIDE,MERCAPTOPURINE,786O,DB06589,DB01033,-13.28,0
VISMODEGIB,MERCAPTOPURINE,786O,DB08828,DB01033,-13.18,0
TENIPOSIDE,ARSENIC TRIOXIDE,786O,DB00444,DB01169,-12.91,0
VISMODEGIB,PRALATREXATE,786O,DB08828,DB06813,-12.83,0
ABIRATERONE,PRALATREXATE,786O,DB05812,DB06813,-12.81,0
METHOXSALEN,TOPOTECAN HYDROCHLORIDE,786O,DB00553,DB01030,-12.79,0
DEXRAZOXANE,PACLITAXEL,786O,DB00380,DB01229,-12.76,0
AZACYTIDINE,QUINACRINE HYDROCHLORIDE,786O,DB00928,DB01103,-12.67,0
DAUNORUBICIN HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,786O,DB00694,DB01030,-12.45,0
VANDETANIB,MERCAPTOPURINE,786O,DB05294,DB01033,-12.32,0
GEFITINIB,CYTARABINE HYDROCHLORIDE,786O,DB00317,DB00987,-12.14,0
DACARBAZINE,PACLITAXEL,786O,DB00851,DB01229,-12.07,0
THALIDOMIDE,TOPOTECAN HYDROCHLORIDE,786O,DB01041,DB01030,-11.97,0
VANDETANIB,PRALATREXATE,786O,DB05294,DB06813,-11.96,0
DAUNORUBICIN HYDROCHLORIDE,CYTARABINE HYDROCHLORIDE,786O,DB00694,DB00987,-11.91,0
METHOTREXATE,CARMUSTINE,786O,DB00563,DB00262,-11.89,0
LOMUSTINE,ARSENIC TRIOXIDE,786O,DB01206,DB01169,-11.75,0
CYTARABINE HYDROCHLORIDE,SUNITINIB,786O,DB00987,DB01268,-11.73,0
RUXOLITINIB,PRALATREXATE,786O,DB08877,DB06813,-11.73,0
PAZOPANIB HYDROCHLORIDE,PRALATREXATE,786O,DB06589,DB06813,-11.48,0
DEXRAZOXANE,MERCAPTOPURINE,786O,DB00380,DB01033,-11.44,0
5-FU,SORAFENIB,786O,DB00544,DB00398,-11.41,0
DACARBAZINE,PRALATREXATE,786O,DB00851,DB06813,-11.36,0
CRIZOTINIB,PRALATREXATE,786O,DB08865,DB06813,-11.32,0
VEMURAFENIB,PRALATREXATE,786O,DB08881,DB06813,-11.2,0
PEMETREXED,PACLITAXEL,786O,DB00642,DB01229,-11.12,0
CYTARABINE HYDROCHLORIDE,TAMOXIFEN CITRATE,786O,DB00987,DB00675,-11.06,0
PEMETREXED,LOMUSTINE,786O,DB00642,DB01206,-10.95,0
PEMETREXED,DACARBAZINE,786O,DB00642,DB00851,-10.84,0
PEMETREXED,CYTARABINE HYDROCHLORIDE,786O,DB00642,DB00987,-10.83,0
TENIPOSIDE,MERCAPTOPURINE,786O,DB00444,DB01033,-10.8,0
LOMUSTINE,CARMUSTINE,786O,DB01206,DB00262,-10.77,0
DAUNORUBICIN HYDROCHLORIDE,SORAFENIB,786O,DB00694,DB00398,-10.75,0
LENALIDOMIDE,PRALATREXATE,786O,DB00480,DB06813,-10.6,0
DEXRAZOXANE,ZOLEDRONIC ACID,786O,DB00380,DB00399,-10.59,0
MEGESTROL ACETATE,PRALATREXATE,786O,DB00351,DB06813,-10.53,0
VANDETANIB,ZOLEDRONIC ACID,786O,DB05294,DB00399,-10.47,0
GEFITINIB,PRALATREXATE,786O,DB00317,DB06813,-10.43,0
LOMUSTINE,IMATINIB,786O,DB01206,DB00619,-10.29,0
LENALIDOMIDE,ZOLEDRONIC ACID,786O,DB00480,DB00399,-10.29,0
BLEOMYCIN,PRALATREXATE,786O,DB00290,DB06813,-10.25,0
LOMUSTINE,DOCETAXEL,786O,DB01206,DB01248,-10.12,0
TENIPOSIDE,PRALATREXATE,786O,DB00444,DB06813,-10.12,0
DOCETAXEL,BLEOMYCIN,786O,DB01248,DB00290,-10.11,0
DASATINIB,QUINACRINE HYDROCHLORIDE,786O,DB01254,DB01103,-10.08,0
QUINACRINE HYDROCHLORIDE,CARMUSTINE,786O,DB01103,DB00262,-10.07,0
LOMUSTINE,SORAFENIB,786O,DB01206,DB00398,-10.06,0
CYTARABINE HYDROCHLORIDE,IMATINIB,786O,DB00987,DB00619,-9.92,0
AZACYTIDINE,SUNITINIB,786O,DB00928,DB01268,-9.88,0
RUXOLITINIB,SORAFENIB,786O,DB08877,DB00398,-9.88,0
LOMUSTINE,BORTEZOMIB,786O,DB01206,DB00188,-9.84,0
TENIPOSIDE,5-FU,786O,DB00444,DB00544,-9.81,0
CYTARABINE HYDROCHLORIDE,CARMUSTINE,786O,DB00987,DB00262,-9.8,0
PEMETREXED,TENIPOSIDE,786O,DB00642,DB00444,-9.74,0
PEMETREXED,ZOLEDRONIC ACID,786O,DB00642,DB00399,-9.7,0
LAPATINIB,QUINACRINE HYDROCHLORIDE,786O,DB01259,DB01103,-9.65,0
LENALIDOMIDE,CYTARABINE HYDROCHLORIDE,786O,DB00480,DB00987,-9.64,0
DOCETAXEL,QUINACRINE HYDROCHLORIDE,786O,DB01248,DB01103,-9.62,0
CYTARABINE HYDROCHLORIDE,TRETINOIN,786O,DB00987,DB00755,-9.62,0
