drug,protein,proteinname
5350,2,A2M
445154,53947,A4GALT
445154,79719,AAGAB
445154,28971,AAMDC
2519,28971,AAMDC
65064,28971,AAMDC
65064,25980,AAR2
2519,80755,AARSD1
445154,26574,AATF
445154,9625,AATK
5350,9625,AATK
2519,9625,AATK
2519,18,ABAT
65064,19,ABCA1
445154,19,ABCA1
2519,154664,ABCA13
5350,10347,ABCA7
5833,5243,ABCB1
5281672,5243,ABCB1
5350,5243,ABCB1
445154,5243,ABCB1
6917864,5243,ABCB1
65064,5243,ABCB1
1548943,5243,ABCB1
65064,23456,ABCB10
5350,23456,ABCB10
5833,8647,ABCB11
65064,8647,ABCB11
5350,10058,ABCB6
445154,22,ABCB7
445154,23457,ABCB9
5281672,4363,ABCC1
65064,4363,ABCC1
2519,4363,ABCC1
445154,4363,ABCC1
65064,89845,ABCC10
445154,1244,ABCC2
5281672,1244,ABCC2
2519,1244,ABCC2
5833,1244,ABCC2
5350,1244,ABCC2
2519,10257,ABCC4
445154,10257,ABCC4
639665,10057,ABCC5
445154,10057,ABCC5
65064,10057,ABCC5
445154,6833,ABCC8
65064,5825,ABCD3
445154,5825,ABCD3
2519,23,ABCF1
445154,55324,ABCF3
445154,9619,ABCG1
65064,9619,ABCG1
6917864,9429,ABCG2
65064,9429,ABCG2
2519,9429,ABCG2
445154,9429,ABCG2
5350,64240,ABCG5
445154,64241,ABCG8
445154,84696,ABHD1
445154,84836,ABHD14B
2519,7920,ABHD16A
2519,11057,ABHD2
5350,171586,ABHD3
445154,171586,ABHD3
5350,63874,ABHD4
65064,57406,ABHD6
2519,10152,ABI2
445154,25,ABL1
1548943,25,ABL1
2519,25,ABL1
2519,27,ABL2
65064,27,ABL2
445154,3983,ABLIM1
2519,3983,ABLIM1
5350,84448,ABLIM2
65064,29,ABR
445154,58527,ABRACL
2519,25841,ABTB2
2519,31,ACACA
445154,31,ACACA
4091,32,ACACB
2519,32,ACACB
445154,32,ACACB
445154,80724,ACAD10
445154,28976,ACAD9
65064,34,ACADM
445154,34,ACADM
445154,176,ACAN
65064,23527,ACAP2
445154,23527,ACAP2
445154,38,ACAT1
2519,39,ACAT2
65064,39,ACAT2
445154,64746,ACBD3
5350,79777,ACBD4
445154,91452,ACBD5
2519,91452,ACBD5
445154,84320,ACBD6
445154,65057,ACD
2519,65057,ACD
65064,1636,ACE
5833,1636,ACE
2519,59272,ACE2
445154,43,ACHE
445154,2532,ACKR1
65064,47,ACLY
445154,47,ACLY
1794427,47,ACLY
2519,47,ACLY
65064,55856,ACOT13
445154,10005,ACOT8
445154,23597,ACOT9
1548943,51,ACOX1
2519,51,ACOX1
445154,51,ACOX1
445154,8310,ACOX3
445154,51205,ACP6
5350,80221,ACSF2
5350,2180,ACSL1
445154,2181,ACSL3
2519,2181,ACSL3
1548943,2181,ACSL3
445154,6296,ACSM3
5350,6296,ACSM3
65064,55902,ACSS2
2519,55902,ACSS2
65064,79611,ACSS3
65064,60,ACTB
2519,60,ACTB
5350,60,ACTB
5350,70,ACTC1
2519,86,ACTL6A
2519,51412,ACTL6B
445154,51412,ACTL6B
2519,87,ACTN1
2519,81,ACTN4
445154,10097,ACTR2
445154,64431,ACTR6
445154,91703,ACY3
445154,100,ADA
5350,100,ADA
445154,4185,ADAM11
5350,6868,ADAM17
445154,6868,ADAM17
65064,6868,ADAM17
5350,53616,ADAM22
445154,80332,ADAM33
5350,80332,ADAM33
445154,8754,ADAM9
65064,81792,ADAMTS12
445154,81792,ADAMTS12
65064,11096,ADAMTS5
5350,11096,ADAMTS5
5350,11174,ADAMTS6
5350,54507,ADAMTSL4
2519,103,ADAR
2519,23536,ADAT1
445154,23536,ADAT1
65064,23536,ADAT1
445154,134637,ADAT2
445154,113179,ADAT3
2519,120,ADD3
445154,120,ADD3
445154,125,ADH1B
445154,55256,ADI1
445154,9370,ADIPOQ
5833,9370,ADIPOQ
5350,10974,ADIRF
445154,133,ADM
5350,133,ADM
65064,133,ADM
445154,23394,ADNP
2519,23394,ADNP
2519,134,ADORA1
445154,134,ADORA1
5350,135,ADORA2A
2519,135,ADORA2A
445154,135,ADORA2A
2519,136,ADORA2B
5350,136,ADORA2B
2519,140,ADORA3
5350,140,ADORA3
445154,83440,ADPGK
445154,151,ADRA2B
445154,153,ADRB1
5350,153,ADRB1
65064,154,ADRB2
5833,154,ADRB2
2519,11047,ADRM1
2519,158,ADSL
445154,158,ADSL
2519,121536,AEBP2
65064,4299,AFF1
2519,4299,AFF1
2519,27125,AFF4
445154,27125,AFF4
445154,10939,AFG3L2
2519,54812,AFTPH
445154,54812,AFTPH
65064,116987,AGAP1
2519,116986,AGAP2
2519,79841,AGBL2
445154,177,AGER
445154,3267,AGFG1
2519,3267,AGFG1
5350,3268,AGFG2
445154,3268,AGFG2
2519,3268,AGFG2
445154,55109,AGGF1
